GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr,study_items
GO:0005215,MF,over,transporter activity,720/6561,1253/12806,3.3974070805726977e-06,1,720,0.0,"NPA_000009, NPA_000018, NPA_000028, NPA_000031, NPA_000032, NPA_000039, NPA_000052, NPA_000073, NPA_000085, NPA_000127, NPA_000144, NPA_000146, NPA_000168, NPA_000202, NPA_000206, NPA_000231, NPA_000235, NPA_000237, NPA_000248, NPA_000254, NPA_000256, NPA_000262, NPA_000263, NPA_000283, NPA_000284, NPA_000329, NPA_000339, NPA_000343, NPA_000396, NPA_000406, NPA_000421, NPA_000425, NPA_000428, NPA_000434, NPA_000445, NPA_000539, NPA_000540, NPA_000548, NPA_000582, NPA_000585, NPA_000618, NPA_000623, NPA_000650, NPA_000652, NPA_000658, NPA_000665, NPA_000672, NPA_000694, NPA_000715, NPA_000728, NPA_000732, NPA_000751, NPA_000776, NPA_000812, NPA_000816, NPA_000818, NPA_000822, NPA_000829, NPA_000833, NPA_000839, NPA_000853, NPA_000854, NPA_000868, NPA_000884, NPA_000906, NPA_000947, NPA_000951, NPA_000960, NPA_001010, NPA_001011, NPA_001013, NPA_001052, NPA_001063, NPA_001067, NPA_001072, NPA_001075, NPA_001151, NPA_001158, NPA_001159, NPA_001167, NPA_001193, NPA_001244, NPA_001252, NPA_001264, NPA_001267, NPA_001304, NPA_001311, NPA_001333, NPA_001355, NPA_001357, NPA_001362, NPA_001376, NPA_001378, NPA_001380, NPA_001401, NPA_001425, NPA_001427, NPA_001455, NPA_001471, NPA_001575, NPA_001638, NPA_001643, NPA_001669, NPA_001695, NPA_001701, NPA_001709, NPA_001728, NPA_001734, NPA_001741, NPA_001744, NPA_001751, NPA_001763, NPA_001776, NPA_001779, NPA_001796, NPA_001816, NPA_001853, NPA_001858, NPA_001860, NPA_001870, NPA_001884, NPA_001892, NPA_001895, NPA_001896, NPA_001901, NPA_001921, NPA_001942, NPA_001972, NPA_001986, NPA_001988, NPA_002001, NPA_002009, NPA_002049, NPA_002055, NPA_002063, NPA_002064, NPA_002076, NPA_002121, NPA_002145, NPA_002154, NPA_002176, NPA_002181, NPA_002190, NPA_002212, NPA_002247, NPA_002253, NPA_002268, NPA_002274, NPA_002316, NPA_002339, NPA_002352, NPA_002358, NPA_002359, NPA_002377, NPA_002391, NPA_002424, NPA_002425, NPA_002426, NPA_002427, NPA_002435, NPA_002444, NPA_002452, NPA_002467, NPA_002475, NPA_002479, NPA_002484, NPA_002518, NPA_002537, NPA_002618, NPA_002626, NPA_002635, NPA_002640, NPA_002641, NPA_002662, NPA_002680, NPA_002681, NPA_002692, NPA_002696, NPA_002703, NPA_002721, NPA_002729, NPA_002750, NPA_002772, NPA_002786, NPA_002797, NPA_002799, NPA_002803, NPA_002810, NPA_002811, NPA_002821, NPA_002849, NPA_002856, NPA_002889, NPA_002915, NPA_002928, NPA_002929, NPA_002933, NPA_002941, NPA_002944, NPA_002948, NPA_002951, NPA_002960, NPA_002971, NPA_002987, NPA_003023, NPA_003038, NPA_003056, NPA_003088, NPA_003133, NPA_003142, NPA_003155, NPA_003205, NPA_003219, NPA_003241, NPA_003277, NPA_003293, NPA_003296, NPA_003299, NPA_003328, NPA_003338, NPA_003351, NPA_003375, NPA_003378, NPA_003386, NPA_003391, NPA_003405, NPA_003407, NPA_003463, NPA_003467, NPA_003479, NPA_003505, NPA_003506, NPA_003527, NPA_003528, NPA_003529, NPA_003549, NPA_003550, NPA_003557, NPA_003567, NPA_003568, NPA_003570, NPA_003573, NPA_003575, NPA_003614, NPA_003624, NPA_003630, NPA_003631, NPA_003665, NPA_003672, NPA_003673, NPA_003689, NPA_003690, NPA_003694, NPA_003709, NPA_003722, NPA_003760, NPA_003783, NPA_003806, NPA_003809, NPA_003811, NPA_003817, NPA_003830, NPA_003833, NPA_003840, NPA_003846, NPA_003847, NPA_003849, NPA_003858, NPA_003859, NPA_003861, NPA_003869, NPA_003877, NPA_003889, NPA_003896, NPA_003911, NPA_003920, NPA_003932, NPA_003938, NPA_003966, NPA_003971, NPA_003983, NPA_003995, NPA_004003, NPA_004020, NPA_004065, NPA_004076, NPA_004082, NPA_004097, NPA_004132, NPA_004134, NPA_004140, NPA_004159, NPA_004163, NPA_004177, NPA_004181, NPA_004186, NPA_004206, NPA_004207, NPA_004283, NPA_004287, NPA_004299, NPA_004309, NPA_004310, NPA_004315, NPA_004335, NPA_004342, NPA_004344, NPA_004348, NPA_004357, NPA_004378, NPA_004440, NPA_004444, NPA_004450, NPA_004498, NPA_004542, NPA_004556, NPA_004563, NPA_004579, NPA_004588, NPA_004608, NPA_004622, NPA_004624, NPA_004626, NPA_004636, NPA_004651, NPA_004674, NPA_004698, NPA_004714, NPA_004729, NPA_004734, NPA_004760, NPA_004771, NPA_004784, NPA_004793, NPA_004806, NPA_004815, NPA_004821, NPA_004831, NPA_004844, NPA_004866, NPA_004873, NPA_004881, NPA_004884, NPA_004894, NPA_004908, NPA_004919, NPA_004936, NPA_004959, NPA_004961, NPA_004972, NPA_004996, NPA_005038, NPA_005039, NPA_005043, NPA_005044, NPA_005061, NPA_005069, NPA_005080, NPA_005091, NPA_005103, NPA_005119, NPA_005129, NPA_005132, NPA_005145, NPA_005149, NPA_005174, NPA_005192, NPA_005195, NPA_005206, NPA_005214, NPA_005218, NPA_005230, NPA_005264, NPA_005270, NPA_005274, NPA_005284, NPA_005321, NPA_005322, NPA_005325, NPA_005337, NPA_005341, NPA_005384, NPA_005385, NPA_005397, NPA_005401, NPA_005408, NPA_005421, NPA_005432, NPA_005447, NPA_005451, NPA_005452, NPA_005453, NPA_005454, NPA_005459, NPA_005474, NPA_005485, NPA_005500, NPA_005505, NPA_005516, NPA_005518, NPA_005520, NPA_005521, NPA_005540, NPA_005576, NPA_005583, NPA_005593, NPA_005599, NPA_005613, NPA_005619, NPA_005620, NPA_005630, NPA_005632, NPA_005671, NPA_005672, NPA_005674, NPA_005713, NPA_005730, NPA_005758, NPA_005765, NPA_005820, NPA_005829, NPA_005851, NPA_005864, NPA_005872, NPA_005906, NPA_005946, NPA_005950, NPA_005984, NPA_006028, NPA_006038, NPA_006040, NPA_006043, NPA_006075, NPA_006094, NPA_006097, NPA_006129, NPA_006158, NPA_006164, NPA_006183, NPA_006186, NPA_006196, NPA_006198, NPA_006199, NPA_006241, NPA_006243, NPA_006254, NPA_006275, NPA_006293, NPA_006315, NPA_006322, NPA_006324, NPA_006331, NPA_006345, NPA_006346, NPA_006367, NPA_006373, NPA_006427, NPA_006460, NPA_006480, NPA_006486, NPA_006496, NPA_006541, NPA_006548, NPA_006556, NPA_006576, NPA_006589, NPA_006600, NPA_006601, NPA_006613, NPA_006626, NPA_006629, NPA_006631, NPA_006635, NPA_006636, NPA_006688, NPA_006694, NPA_006709, NPA_006718, NPA_006721, NPA_006725, NPA_006748, NPA_006749, NPA_006787, NPA_006798, NPA_006802, NPA_006812, NPA_006816, NPA_006829, NPA_006876, NPA_006932, NPA_006942, NPA_006943, NPA_006979, NPA_006990, NPA_006994, NPA_006997, NPA_007001, NPA_007018, NPA_007038, NPA_007046, NPA_007077, NPA_007096, NPA_007097, NPA_007139, NPA_007140, NPA_007173, NPA_007180, NPA_007181, NPA_007199, NPA_007200, NPA_007204, NPA_007247, NPA_007278, NPA_007280, NPA_007314, NPA_007316, NPA_007321, NPA_007325, NPA_007330, NPA_007350, NPA_007360, NPA_007365, NPA_007393, NPA_007395, NPA_007404, NPA_007415, NPA_007417, NPA_007449, NPA_007450, NPA_007457, NPA_007460, NPA_007462, NPA_007475, NPA_007476, NPA_007491, NPA_007502, NPA_007526, NPA_007534, NPA_007554, NPA_007556, NPA_007569, NPA_007572, NPA_007606, NPA_007615, NPA_007648, NPA_007666, NPA_007670, NPA_007671, NPA_007687, NPA_007690, NPA_007691, NPA_007698, NPA_007713, NPA_007719, NPA_007721, NPA_007737, NPA_007748, NPA_007758, NPA_007811, NPA_007818, NPA_007855, NPA_007857, NPA_007888, NPA_007894, NPA_007904, NPA_007905, NPA_007911, NPA_007912, NPA_007956, NPA_007960, NPA_007998, NPA_008000, NPA_008002, NPA_008028, NPA_008034, NPA_008055, NPA_008065, NPA_008076, NPA_008077, NPA_008085, NPA_008103, NPA_008104, NPA_008105, NPA_008110, NPA_008121, NPA_008149, NPA_008163, NPA_008221, NPA_008255, NPA_008257, NPA_008284, NPA_008305, NPA_008308, NPA_008315, NPA_008345, NPA_008357, NPA_008364, NPA_008394, NPA_008397, NPA_008413, NPA_008416, NPA_008436, NPA_008438, NPA_008455, NPA_008457, NPA_008486, NPA_008509, NPA_008518, NPA_008521, NPA_008531, NPA_008561, NPA_008573, NPA_008593, NPA_008600, NPA_008603, NPA_008613, NPA_008631, NPA_008633, NPA_008637, NPA_008656, NPA_008668, NPA_008669, NPA_008670, NPA_008711, NPA_008712, NPA_008720, NPA_008722, NPA_008731, NPA_008746, NPA_008755, NPA_008759, NPA_008770, NPA_008784, NPA_008811, NPA_008813, NPA_008822, NPA_008829, NPA_008834, NPA_008839, NPA_008840, NPA_008841, NPA_008854, NPA_008863, NPA_008899, NPA_008927, NPA_008929, NPA_008963, NPA_008968, NPA_008975, NPA_008991, NPA_008999, NPA_009008, NPA_009010, NPA_009030, NPA_009033, NPA_009034, NPA_009037, NPA_009068, NPA_009072, NPA_009092, NPA_009103, NPA_009104, NPA_009105, NPA_009106, NPA_009127, NPA_009171, NPA_009176, NPA_009178, NPA_009179, NPA_009190, NPA_009191, NPA_009198, NPA_009215, NPA_009245, NPA_009248, NPA_009271, NPA_009291, NPA_009298, NPA_009301, NPA_009306, NPA_009321, NPA_009322, NPA_009329, NPA_009330, NPA_009341, NPA_009347, NPA_009364, NPA_009379, NPA_009380, NPA_009386, NPA_009394, NPA_009405, NPA_009409, NPA_009417, NPA_009432, NPA_009462, NPA_009465, NPA_009467, NPA_009479, NPA_009482, NPA_009512, NPA_009524, NPA_009525, NPA_009533, NPA_009537, NPA_009554, NPA_009565, NPA_009572, NPA_009593, NPA_009605, NPA_009612, NPA_009614, NPA_009616, NPA_009671, NPA_009691, NPA_009692, NPA_009695, NPA_009697, NPA_009726, NPA_009731"
GO:0022857,MF,over,transmembrane transporter activity,702/6561,1223/12806,6.294582037413896e-06,2,702,0.0,"NPA_000009, NPA_000018, NPA_000028, NPA_000031, NPA_000032, NPA_000039, NPA_000052, NPA_000073, NPA_000085, NPA_000127, NPA_000146, NPA_000168, NPA_000202, NPA_000206, NPA_000231, NPA_000235, NPA_000237, NPA_000248, NPA_000254, NPA_000256, NPA_000262, NPA_000263, NPA_000283, NPA_000284, NPA_000329, NPA_000339, NPA_000396, NPA_000406, NPA_000421, NPA_000425, NPA_000428, NPA_000434, NPA_000445, NPA_000540, NPA_000548, NPA_000582, NPA_000585, NPA_000618, NPA_000623, NPA_000650, NPA_000652, NPA_000658, NPA_000665, NPA_000672, NPA_000694, NPA_000715, NPA_000728, NPA_000732, NPA_000751, NPA_000776, NPA_000812, NPA_000816, NPA_000818, NPA_000822, NPA_000829, NPA_000839, NPA_000853, NPA_000854, NPA_000868, NPA_000884, NPA_000906, NPA_000947, NPA_000951, NPA_000960, NPA_001010, NPA_001011, NPA_001013, NPA_001052, NPA_001063, NPA_001067, NPA_001072, NPA_001075, NPA_001151, NPA_001158, NPA_001159, NPA_001167, NPA_001193, NPA_001244, NPA_001252, NPA_001264, NPA_001267, NPA_001304, NPA_001311, NPA_001333, NPA_001355, NPA_001357, NPA_001362, NPA_001378, NPA_001380, NPA_001401, NPA_001425, NPA_001427, NPA_001455, NPA_001471, NPA_001575, NPA_001638, NPA_001643, NPA_001669, NPA_001695, NPA_001701, NPA_001709, NPA_001728, NPA_001734, NPA_001744, NPA_001751, NPA_001763, NPA_001776, NPA_001779, NPA_001816, NPA_001853, NPA_001858, NPA_001860, NPA_001870, NPA_001884, NPA_001892, NPA_001895, NPA_001896, NPA_001901, NPA_001921, NPA_001942, NPA_001972, NPA_001986, NPA_001988, NPA_002001, NPA_002009, NPA_002049, NPA_002055, NPA_002063, NPA_002064, NPA_002076, NPA_002121, NPA_002145, NPA_002154, NPA_002176, NPA_002181, NPA_002190, NPA_002212, NPA_002247, NPA_002253, NPA_002274, NPA_002316, NPA_002339, NPA_002352, NPA_002358, NPA_002359, NPA_002377, NPA_002391, NPA_002424, NPA_002425, NPA_002426, NPA_002427, NPA_002435, NPA_002444, NPA_002452, NPA_002467, NPA_002475, NPA_002479, NPA_002484, NPA_002518, NPA_002537, NPA_002618, NPA_002626, NPA_002635, NPA_002640, NPA_002641, NPA_002662, NPA_002680, NPA_002681, NPA_002692, NPA_002696, NPA_002703, NPA_002721, NPA_002729, NPA_002750, NPA_002772, NPA_002786, NPA_002797, NPA_002799, NPA_002803, NPA_002810, NPA_002811, NPA_002821, NPA_002849, NPA_002856, NPA_002889, NPA_002915, NPA_002928, NPA_002929, NPA_002933, NPA_002941, NPA_002944, NPA_002948, NPA_002951, NPA_002960, NPA_002971, NPA_002987, NPA_003023, NPA_003038, NPA_003056, NPA_003088, NPA_003133, NPA_003142, NPA_003155, NPA_003205, NPA_003219, NPA_003241, NPA_003277, NPA_003293, NPA_003296, NPA_003299, NPA_003328, NPA_003338, NPA_003351, NPA_003375, NPA_003378, NPA_003386, NPA_003391, NPA_003405, NPA_003407, NPA_003463, NPA_003467, NPA_003479, NPA_003505, NPA_003506, NPA_003527, NPA_003528, NPA_003529, NPA_003549, NPA_003550, NPA_003557, NPA_003567, NPA_003568, NPA_003570, NPA_003573, NPA_003575, NPA_003614, NPA_003624, NPA_003630, NPA_003631, NPA_003665, NPA_003672, NPA_003673, NPA_003689, NPA_003690, NPA_003694, NPA_003709, NPA_003722, NPA_003760, NPA_003783, NPA_003806, NPA_003809, NPA_003811, NPA_003817, NPA_003830, NPA_003833, NPA_003840, NPA_003846, NPA_003847, NPA_003849, NPA_003858, NPA_003859, NPA_003861, NPA_003869, NPA_003877, NPA_003889, NPA_003896, NPA_003911, NPA_003920, NPA_003932, NPA_003938, NPA_003966, NPA_003983, NPA_003995, NPA_004003, NPA_004020, NPA_004065, NPA_004076, NPA_004082, NPA_004097, NPA_004132, NPA_004134, NPA_004140, NPA_004159, NPA_004163, NPA_004177, NPA_004181, NPA_004186, NPA_004206, NPA_004207, NPA_004283, NPA_004287, NPA_004299, NPA_004309, NPA_004310, NPA_004315, NPA_004335, NPA_004342, NPA_004344, NPA_004348, NPA_004357, NPA_004378, NPA_004440, NPA_004444, NPA_004450, NPA_004498, NPA_004542, NPA_004556, NPA_004563, NPA_004579, NPA_004588, NPA_004608, NPA_004622, NPA_004624, NPA_004626, NPA_004636, NPA_004651, NPA_004674, NPA_004698, NPA_004714, NPA_004729, NPA_004734, NPA_004760, NPA_004771, NPA_004784, NPA_004793, NPA_004806, NPA_004815, NPA_004821, NPA_004831, NPA_004844, NPA_004866, NPA_004873, NPA_004881, NPA_004884, NPA_004894, NPA_004908, NPA_004919, NPA_004936, NPA_004959, NPA_004961, NPA_004972, NPA_004996, NPA_005038, NPA_005039, NPA_005043, NPA_005044, NPA_005061, NPA_005069, NPA_005080, NPA_005091, NPA_005103, NPA_005119, NPA_005132, NPA_005145, NPA_005149, NPA_005174, NPA_005192, NPA_005195, NPA_005206, NPA_005214, NPA_005218, NPA_005230, NPA_005264, NPA_005270, NPA_005274, NPA_005284, NPA_005321, NPA_005322, NPA_005325, NPA_005337, NPA_005341, NPA_005385, NPA_005397, NPA_005401, NPA_005408, NPA_005421, NPA_005432, NPA_005447, NPA_005451, NPA_005452, NPA_005453, NPA_005454, NPA_005459, NPA_005474, NPA_005485, NPA_005505, NPA_005516, NPA_005518, NPA_005520, NPA_005521, NPA_005540, NPA_005576, NPA_005583, NPA_005593, NPA_005599, NPA_005613, NPA_005619, NPA_005620, NPA_005630, NPA_005632, NPA_005671, NPA_005672, NPA_005674, NPA_005713, NPA_005730, NPA_005758, NPA_005765, NPA_005820, NPA_005829, NPA_005851, NPA_005864, NPA_005872, NPA_005906, NPA_005946, NPA_005950, NPA_005984, NPA_006028, NPA_006038, NPA_006040, NPA_006043, NPA_006075, NPA_006094, NPA_006097, NPA_006129, NPA_006158, NPA_006164, NPA_006183, NPA_006186, NPA_006196, NPA_006198, NPA_006199, NPA_006241, NPA_006243, NPA_006254, NPA_006275, NPA_006293, NPA_006315, NPA_006322, NPA_006324, NPA_006331, NPA_006345, NPA_006346, NPA_006367, NPA_006373, NPA_006427, NPA_006460, NPA_006480, NPA_006486, NPA_006496, NPA_006541, NPA_006548, NPA_006556, NPA_006576, NPA_006589, NPA_006600, NPA_006601, NPA_006613, NPA_006626, NPA_006629, NPA_006631, NPA_006635, NPA_006636, NPA_006688, NPA_006694, NPA_006709, NPA_006718, NPA_006721, NPA_006725, NPA_006748, NPA_006749, NPA_006787, NPA_006798, NPA_006802, NPA_006812, NPA_006829, NPA_006876, NPA_006932, NPA_006942, NPA_006943, NPA_006979, NPA_006990, NPA_006994, NPA_006997, NPA_007001, NPA_007018, NPA_007038, NPA_007046, NPA_007077, NPA_007096, NPA_007097, NPA_007139, NPA_007140, NPA_007173, NPA_007180, NPA_007181, NPA_007199, NPA_007200, NPA_007204, NPA_007247, NPA_007278, NPA_007280, NPA_007316, NPA_007321, NPA_007325, NPA_007330, NPA_007350, NPA_007360, NPA_007365, NPA_007393, NPA_007395, NPA_007404, NPA_007415, NPA_007417, NPA_007449, NPA_007450, NPA_007457, NPA_007460, NPA_007462, NPA_007475, NPA_007476, NPA_007491, NPA_007502, NPA_007526, NPA_007534, NPA_007554, NPA_007556, NPA_007572, NPA_007606, NPA_007615, NPA_007648, NPA_007666, NPA_007670, NPA_007671, NPA_007687, NPA_007690, NPA_007698, NPA_007713, NPA_007719, NPA_007721, NPA_007737, NPA_007748, NPA_007758, NPA_007811, NPA_007818, NPA_007855, NPA_007857, NPA_007888, NPA_007894, NPA_007904, NPA_007905, NPA_007911, NPA_007912, NPA_007956, NPA_007960, NPA_007998, NPA_008000, NPA_008002, NPA_008028, NPA_008034, NPA_008055, NPA_008065, NPA_008076, NPA_008077, NPA_008085, NPA_008103, NPA_008104, NPA_008105, NPA_008110, NPA_008121, NPA_008149, NPA_008163, NPA_008221, NPA_008255, NPA_008257, NPA_008284, NPA_008305, NPA_008308, NPA_008315, NPA_008345, NPA_008357, NPA_008364, NPA_008394, NPA_008397, NPA_008413, NPA_008436, NPA_008438, NPA_008455, NPA_008457, NPA_008486, NPA_008509, NPA_008518, NPA_008521, NPA_008531, NPA_008561, NPA_008573, NPA_008593, NPA_008600, NPA_008603, NPA_008613, NPA_008631, NPA_008633, NPA_008637, NPA_008656, NPA_008668, NPA_008669, NPA_008670, NPA_008711, NPA_008712, NPA_008720, NPA_008722, NPA_008731, NPA_008746, NPA_008755, NPA_008759, NPA_008770, NPA_008784, NPA_008811, NPA_008813, NPA_008822, NPA_008829, NPA_008834, NPA_008839, NPA_008840, NPA_008841, NPA_008854, NPA_008863, NPA_008899, NPA_008927, NPA_008929, NPA_008963, NPA_008968, NPA_008975, NPA_008991, NPA_008999, NPA_009008, NPA_009010, NPA_009030, NPA_009033, NPA_009034, NPA_009037, NPA_009068, NPA_009072, NPA_009092, NPA_009103, NPA_009104, NPA_009105, NPA_009106, NPA_009127, NPA_009171, NPA_009176, NPA_009178, NPA_009179, NPA_009190, NPA_009191, NPA_009198, NPA_009215, NPA_009245, NPA_009248, NPA_009271, NPA_009291, NPA_009298, NPA_009301, NPA_009306, NPA_009321, NPA_009322, NPA_009329, NPA_009330, NPA_009341, NPA_009347, NPA_009364, NPA_009379, NPA_009380, NPA_009386, NPA_009394, NPA_009405, NPA_009409, NPA_009417, NPA_009432, NPA_009462, NPA_009465, NPA_009467, NPA_009479, NPA_009482, NPA_009512, NPA_009524, NPA_009525, NPA_009533, NPA_009537, NPA_009554, NPA_009565, NPA_009572, NPA_009593, NPA_009605, NPA_009612, NPA_009614, NPA_009616, NPA_009671, NPA_009691, NPA_009692, NPA_009697, NPA_009726, NPA_009731"
